location,date,New_Cases,New_Deaths,Reproduction_Rate,ICU_Patients,Hosp_Patients,Positive_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_Boosters,Population,Population_Density,Extreme_Poverty
Papua New Guinea,2022,7045.0,50.0,72.8,0.0,0.0,0.0,3586867.0,2853970.0,0.0,848067465.0,1694.4599999999998,0.0
Peru,2020,1015137.0,93070.0,339.05,0.0,0.0,46.011,0.0,0.0,0.0,10041183915.0,7563.829000000001,1053.5
Peru,2021,1281694.0,110329.0,388.64,0.0,0.0,27.773,3078791855.0,2353596095.0,91045861.0,12176186475.0,9172.085000000001,1277.5
Peru,2022,1251728.0,9638.0,80.72,0.0,0.0,11.806,2343761100.0,2080360428.0,772158118.0,3102425595.0,2336.9970000000003,325.5
Philippines,2020,474064.0,9246.0,328.99,0.0,0.0,18.4534,0.0,0.0,0.0,37422808670.0,118581.201,0.0
Philippines,2021,2369926.0,42260.0,366.62,0.0,0.0,43.1928,627259724.0,2022272851.0,14743910.0,40532122150.0,128433.64499999999,0.0
Philippines,2022,835993.0,7839.0,91.53,0.0,0.0,14.529,208370485.0,1813536201.0,221588526.0,10327362630.0,32724.189,0.0
Poland,2020,1294878.0,28554.0,341.71,0.0,1802938.0,29.2977,92200.0,0.0,0.0,11452491000.0,37580.181,0.0
Poland,2021,2813337.0,68500.0,372.8,0.0,4057134.0,41.0065,3881353228.0,3338540343.0,190740901.0,13795905000.0,45269.855,0.0
Poland,2022,1861406.0,18291.0,85.71,0.0,1196673.0,17.5743,1786533915.0,1751292980.0,825737490.0,3515121000.0,11534.511,0.0
Portugal,2020,413839.0,6906.0,340.88,51460.0,329161.0,16.2633,96377.0,0.0,0.0,3111384438.0,34385.526,153.0
Portugal,2021,812608.0,11336.0,311.18,68224.0,412068.0,13.6898,483242849.0,549256522.0,58344580.0,3050376900.0,33711.299999999996,150.0
Portugal,2022,1823378.0,2212.0,66.06,7880.0,103625.0,11.6158,0.0,470135436.0,246288943.0,762594225.0,8427.824999999999,37.5
Puerto Rico,2020,0.0,0.0,0.0,0.0,0.0,18.544,0.0,0.0,0.0,865443276.0,115126.99200000001,0.0
Puerto Rico,2021,0.0,0.0,0.0,0.0,0.0,34.687,0.0,0.0,0.0,1032309790.0,137324.68000000002,0.0
Puerto Rico,2022,0.0,0.0,0.0,0.0,0.0,7.555,0.0,0.0,0.0,248885648.0,33108.416000000005,0.0
Russia,2020,3127347.0,56271.0,344.44,0.0,0.0,8.7906,80500.0,0.0,0.0,49026439392.0,2964.5280000000002,33.6
Russia,2021,7193058.0,246400.0,364.18,0.0,0.0,16.844,9776263405.0,7747918500.0,268124270.0,53257888030.0,3220.395,36.5
Russia,2022,7315614.0,59633.0,91.21,0.0,0.0,14.018699999999999,4947862359.0,4451001496.0,711377597.0,13569818046.0,820.539,9.3
Samoa,2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8806336.0,3054.172,0.0
Samoa,2021,1.0,0.0,0.0,0.0,0.0,0.0,2290228.0,1171306.0,0.0,73052560.0,25335.745,0.0
Samoa,2022,2328.0,1.0,0.0,0.0,0.0,0.0,891547.0,761938.0,0.0,18613392.0,6455.409,0.0
Singapore,2020,58599.0,29.0,315.02,0.0,0.0,0.0,254.0,0.0,0.0,1876038400.0,2723011.4639999997,0.0
Singapore,2021,220806.0,799.0,394.48,0.0,0.0,0.0,1038651917.0,882854852.0,109322017.0,1990564000.0,2889241.815,0.0
Singapore,2022,830339.0,448.0,115.41,0.0,0.0,5.5337,429366551.0,416694553.0,287305184.0,507184800.0,736162.983,0.0
Slovakia,2020,274603.0,2138.0,339.79,13875.0,141000.0,13.809,0.0,0.0,0.0,1640230270.0,34051.528,210.7
Slovakia,2021,959656.0,12754.0,335.03000000000003,87507.0,519836.0,13.524000000000001,34463682.0,31540280.0,239.0,1798259100.0,37332.24,230.99999999999997
Slovakia,2022,969687.0,2431.0,81.88,19091.0,156527.0,18.84,0.0,0.0,0.0,435941600.0,9050.24,56.0
Solomon Islands,2020,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57023595.0,1769.121,2033.1000000000001
Solomon Islands,2021,7.0,0.0,0.0,0.0,0.0,0.0,1506946.0,428078.0,0.0,256958175.0,7971.965,9161.5
Solomon Islands,2022,11449.0,133.0,80.37,0.0,0.0,0.0,2046943.0,871440.0,0.0,65471535.0,2031.2130000000002,2334.3
South Africa,2020,1057161.0,28469.0,339.09,26554.0,177759.0,34.7349,0.0,0.0,0.0,19753816684.0,15382.065999999999,6218.099999999999
South Africa,2021,2382539.0,62676.0,358.4,64738.0,444475.0,48.2137,1449732688.0,1034157473.0,0.0,21915328540.0,17065.21,6898.499999999999
South Africa,2022,250774.0,7949.0,68.87,3476.0,42664.0,8.6347,1146873348.0,972028306.0,63197929.0,5163611656.0,4020.8439999999996,1625.3999999999999
South Korea,2020,61768.0,917.0,355.24,20371.0,0.0,3.5944,0.0,0.0,0.0,17700288480.0,182148.615,69.0
South Korea,2021,573484.0,4708.0,377.88,114651.0,0.0,4.272,6738955812.0,4849828495.0,354256767.0,18726392160.0,192707.955,73.0
South Korea,2022,13366153.0,11828.0,119.87,60782.0,0.0,19.2056,4162394527.0,4099065315.0,2647003894.0,4771382112.0,49100.931,18.6
Spain,2020,1938671.0,51578.0,373.01,265122.0,1469167.0,29.696,0.0,0.0,0.0,15659645685.0,31190.175000000003,335.0
Spain,2021,3495434.0,36412.0,352.14,586659.0,2284758.0,27.76,4023898073.0,3193223787.0,61553551.0,15098703153.0,30072.915,323.0
Spain,2022,1494939.0,5230.0,61.67,71301.0,479719.0,13.928,652751361.0,698897993.0,294971684.0,2944948293.0,5865.615000000001,63.0
Sri Lanka,2020,43299.0,204.0,296.31,0.0,0.0,7.2757,0.0,0.0,0.0,7309084040.0,116264.7,237.99999999999997
Sri Lanka,2021,543946.0,14775.0,369.71,0.0,0.0,32.8222,2223535090.0,1589999249.0,55953055.0,7846516690.0,124813.575,255.49999999999997
Sri Lanka,2022,74746.0,1502.0,84.77,0.0,0.0,7.8062,1230470634.0,1038999270.0,438781151.0,1999249458.0,31801.815,65.1
Sweden,2020,437379.0,8979.0,373.08,54167.0,321825.0,10.9959,0.0,0.0,0.0,3403653265.0,8280.53,167.5
Sweden,2021,877405.0,6587.0,411.04,56074.0,335231.0,25.9663,227991371.0,176250876.0,0.0,3708458035.0,9022.07,182.5
Sweden,2022,1173068.0,3055.0,88.62,6447.0,109209.0,29.1962,124440363.0,120604395.0,20619595.0,944894787.0,2298.774,46.5
Switzerland,2020,452296.0,7873.0,359.12,48897.0,268844.0,19.106,23345.0,44.0,0.0,2710518634.0,66629.573,0.0
