Region,Quarter,Country,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
APJ,FY22Q3,Maldives,10178.0,22.0,0.0,0.0,24524718.0,0.0
APJ,FY22Q3,Mongolia,397368.0,913.0,0.0,0.0,156624777.0,45.5
APJ,FY22Q3,Myanmar,204145.0,9702.0,0.0,0.0,26386513.0,582.4
APJ,FY22Q3,Nauru,0.0,0.0,0.0,0.0,7251.0,0.0
APJ,FY22Q3,Nepal,118788.0,1554.0,0.0,0.0,337242686.0,1365.0
APJ,FY22Q3,New Zealand,3415.0,2.0,0.0,0.0,152668959.0,0.0
APJ,FY22Q3,Pakistan,242534.0,5079.0,0.0,0.0,952757612.0,364.0
APJ,FY22Q3,Palau,8.0,0.0,0.0,0.0,0.0,0.0
APJ,FY22Q3,Papua New Guinea,11435.0,175.0,0.0,0.0,352286.0,0.0
APJ,FY22Q3,Philippines,1199119.0,14899.0,0.0,0.0,968084229.0,0.0
APJ,FY22Q3,Samoa,0.0,0.0,0.0,0.0,514545.0,0.0
APJ,FY22Q3,Singapore,127238.0,343.0,2151.0,85418.0,383537918.0,0.0
APJ,FY22Q3,Solomon Islands,0.0,0.0,0.0,0.0,164360.0,2284.1
APJ,FY22Q3,South Korea,164294.0,735.0,32630.0,0.0,1920762307.0,18.2
APJ,FY22Q3,Sri Lanka,232754.0,9326.0,0.0,0.0,767680493.0,63.699999999999996
APJ,FY22Q3,Taiwan,737.0,60.0,0.0,0.0,177498192.0,0.0
APJ,FY22Q3,Thailand,1315566.0,14391.0,0.0,0.0,1071006152.0,9.1
APJ,FY22Q3,Timor,9043.0,96.0,0.0,0.0,3259107.0,2757.3
APJ,FY22Q3,Tonga,1.0,0.0,0.0,0.0,190462.0,0.0
APJ,FY22Q3,Tuvalu,0.0,0.0,0.0,0.0,17362.0,277.2
APJ,FY22Q3,Vanuatu,2.0,0.0,0.0,0.0,125867.0,1201.2
APJ,FY22Q3,Vietnam,769254.0,20805.0,0.0,0.0,525415652.0,182.0
APJ,FY22Q4,Afghanistan,4867.0,134.0,0.0,0.0,37645779.0,0.0
APJ,FY22Q4,Australia,4031.0,0.0,151.0,754.0,19553057.0,0.5
APJ,FY22Q4,Bangladesh,193609.0,454.0,0.0,0.0,1770005361.0,1346.8
APJ,FY22Q4,Bhutan,1809.0,1.0,0.0,0.0,4527455.0,136.5
APJ,FY22Q4,Brunei,3356.0,12.0,0.0,0.0,15679164.0,0.0
APJ,FY22Q4,Cambodia,2867.0,242.0,0.0,0.0,1186271706.0,0.0
